id,component,reshape_cube,number of features,CV Accuracy (Training),CV Std (Training),Accuracy (Test),F1 Score (Test),Precision Score (Test)
tpot_20230410_055417,4,5,159,0.8872727272727273,0.0436363636363636,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_060059,4,5,184,0.8309090909090908,0.1120212494599953,0.7142857142857143,0.7083333333333333,0.7333333333333333
tpot_20230410_061830,4,5,209,0.7945454545454546,0.1102364101179936,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_080548,1,3,9,0.8345454545454546,0.0876506966777741,0.6428571428571429,0.6256684491978609,0.6749999999999999
tpot_20230410_080836,1,3,34,0.8163636363636364,0.0979795897113271,0.6428571428571429,0.6410256410256411,0.6458333333333333
tpot_20230410_081726,1,3,59,0.7581818181818182,0.0954502163520486,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_082448,1,3,84,0.9090909090909092,0.1149919149152137,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_082822,1,3,109,0.9072727272727276,0.0996522880439616,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_083418,1,3,134,0.9072727272727276,0.0813928337658159,0.6428571428571429,0.6410256410256411,0.6458333333333333
tpot_20230410_084049,1,3,159,0.8690909090909091,0.1111324130177172,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230410_090148,1,3,184,0.8181818181818181,0.1149919149152138,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230410_091217,1,3,209,0.8709090909090911,0.0920653738267066,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_091628,2,3,9,0.7945454545454546,0.0744345072380317,0.5714285714285714,0.5714285714285714,0.5714285714285714
tpot_20230410_093031,2,3,34,0.8345454545454546,0.132664991614216,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_093749,2,3,59,0.8690909090909091,0.0757551514763623,0.7142857142857143,0.7142857142857143,0.7142857142857143
tpot_20230410_094215,2,3,84,0.7781818181818183,0.0915612968146485,0.7142857142857143,0.7083333333333333,0.7333333333333333
tpot_20230410_095118,2,3,109,0.8709090909090909,0.0431794257710469,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_095618,2,3,134,0.8872727272727273,0.0721797572410152,0.6428571428571429,0.6410256410256411,0.6458333333333333
tpot_20230410_100009,2,3,159,0.8145454545454547,0.0579540998200335,0.7142857142857143,0.7083333333333333,0.7333333333333333
tpot_20230410_100703,2,3,184,0.8527272727272729,0.0917056015484981,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_101812,2,3,209,0.7981818181818181,0.1441303358735012,0.5714285714285714,0.5625000000000001,0.5777777777777777
tpot_20230410_102611,3,3,9,0.7963636363636365,0.0674444981490596,0.5,0.4974358974358974,0.5
tpot_20230410_102931,3,3,34,0.8527272727272728,0.0714432098341399,0.5,0.4974358974358974,0.5
tpot_20230410_103404,3,3,59,0.8872727272727273,0.0721797572410152,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230410_103839,3,3,84,0.9418181818181818,0.0791692402075535,0.7857142857142857,0.7754010695187166,0.8499999999999999
tpot_20230410_104216,3,3,109,0.8872727272727273,0.0436363636363636,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_105432,3,3,134,0.9418181818181818,0.0791692402075535,1.0,1.0,1.0
tpot_20230410_110252,3,3,159,0.921818181818182,0.1163636363636363,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_111153,3,3,184,0.921818181818182,0.1163636363636363,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_111620,3,3,209,0.8709090909090911,0.071904436121037,0.7857142857142857,0.7754010695187166,0.8499999999999999
tpot_20230410_112840,4,3,9,0.6854545454545453,0.1221839826648105,0.7857142857142857,0.7754010695187166,0.8499999999999999
tpot_20230410_113631,4,3,34,0.76,0.0703239258393226,0.5,0.4974358974358974,0.5
tpot_20230410_115942,4,3,59,0.76,0.0908363345221585,0.5714285714285714,0.5714285714285714,0.5714285714285714
tpot_20230410_121006,4,3,84,0.8890909090909093,0.0887749499326087,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230410_122724,4,3,109,0.8890909090909093,0.0676402735917755,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230410_123034,4,3,134,0.8890909090909093,0.1057675605254471,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_123641,4,3,159,0.7963636363636363,0.1056424657915196,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_124615,4,3,184,0.8890909090909093,0.0676402735917755,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230410_125305,4,3,209,0.9254545454545456,0.0686107718695025,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_153827,1,1,9,0.7763636363636364,0.0774810027369546,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_155504,1,1,34,0.8527272727272729,0.0917056015484981,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_161533,1,1,59,0.7981818181818181,0.08689311378435285,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_163158,1,1,84,0.7781818181818181,0.042093952373782655,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230410_170112,1,1,109,0.7763636363636364,0.11231596517440363,0.7857142857142857,0.7754010695187166,0.8499999999999999
tpot_20230410_172437,1,1,134,0.8527272727272729,0.0917056015484981,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_174741,1,1,159,0.8309090909090908,0.07705316400151668,0.8571428571428571,0.8541666666666667,0.888888888888889
