id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
h2o_20230429_211150,1,9,30,0.7639,0.1921,0.6111,0.6,0.625
h2o_20230429_212110,1,9,50,0.7361,0.2205,0.7222,0.7143,0.75
h2o_20230429_213318,1,9,70,0.75,0.2339,0.7778,0.775,0.7922
h2o_20230429_214916,1,9,90,0.7778,0.278,0.8333,0.8328,0.8375
h2o_20230429_220906,1,9,110,0.7778,0.2849,0.4444,0.4156,0.4308
h2o_20230429_223509,1,9,130,0.75,0.2997,0.6111,0.5418,0.7812
h2o_20230429_230531,1,9,150,0.7361,0.261,0.5556,0.55,0.5584
h2o_20230429_233959,1,9,170,0.7639,0.2684,0.6667,0.6625,0.6753
h2o_20230430_001735,1,9,190,0.75,0.2421,0.6667,0.6667,0.6667
h2o_20230430_005803,1,9,210,0.7222,0.2483,0.6667,0.6667,0.6667
h2o_20230428_205435,1,11,10,0.7917,0.1531,0.6111,0.5786,0.6607
h2o_20230428_210054,1,11,30,0.7361,0.2826,0.4444,0.4444,0.4444
h2o_20230428_211021,1,11,50,0.6944,0.266,0.6111,0.6099,0.6125
h2o_20230428_212310,1,11,70,0.7222,0.2052,0.7222,0.7214,0.725
h2o_20230428_213915,1,11,90,0.7083,0.1654,0.6111,0.5418,0.7812
h2o_20230428_215955,1,11,110,0.7222,0.1954,0.5556,0.5,0.6
h2o_20230428_222416,1,11,130,0.75,0.1654,0.6111,0.5418,0.7812
h2o_20230428_225224,1,11,150,0.7639,0.2205,0.5,0.4109,0.5
h2o_20230428_232410,1,11,170,0.7222,0.2145,0.5,0.4109,0.5
h2o_20230428_235857,1,11,190,0.75,0.2421,0.5,0.3333,0.25
h2o_20230429_003929,1,11,210,0.75,0.2165,0.5,0.3333,0.25
h2o_20230501_005334,1,11,10,0.7917,0.1531,0.6111,0.5786,0.6607
h2o_20230501_010000,1,11,30,0.7361,0.2826,0.4444,0.4444,0.4444
h2o_20230501_010939,1,11,50,0.6944,0.266,0.6111,0.6099,0.6125
h2o_20230501_012313,1,11,70,0.7222,0.2052,0.7222,0.7214,0.725
h2o_20230501_014054,1,11,90,0.7083,0.1654,0.6111,0.5418,0.7812
h2o_20230501_020244,1,11,110,0.7222,0.1954,0.5556,0.5,0.6
h2o_20230501_022841,1,11,130,0.75,0.1654,0.6111,0.5418,0.7812
h2o_20230501_025805,1,11,150,0.7639,0.2205,0.5,0.4109,0.5
h2o_20230501_033138,1,11,170,0.7222,0.2145,0.5,0.4109,0.5
h2o_20230501_040757,1,11,190,0.75,0.2421,0.5,0.3333,0.25
h2o_20230501_045015,1,11,210,0.75,0.2165,0.5,0.3333,0.25
h2o_20230430_010143,1,13,10,0.75,0.1398,0.6667,0.6625,0.6753
h2o_20230430_010615,1,13,30,0.7222,0.1852,0.6667,0.6625,0.6753
h2o_20230430_011315,1,13,50,0.6667,0.2165,0.6111,0.6,0.625
h2o_20230430_012313,1,13,70,0.6667,0.1976,0.6111,0.6099,0.6125
h2o_20230430_013746,1,13,90,0.7361,0.1816,0.7778,0.7778,0.7778
h2o_20230430_015427,1,13,110,0.625,0.2165,0.6111,0.6,0.625
h2o_20230430_021644,1,13,130,0.5972,0.2708,0.5,0.4582,0.5
h2o_20230430_024313,1,13,150,0.6806,0.243,0.6111,0.6099,0.6125
h2o_20230430_031217,1,13,170,0.625,0.2339,0.5556,0.5,0.6
h2o_20230430_034706,1,13,190,0.625,0.25,0.5,0.4109,0.5
h2o_20230430_042318,1,13,210,0.7361,0.2534,0.7778,0.775,0.7922
h2o_20230501_045436,1,13,10,0.75,0.1398,0.6667,0.6625,0.6753
h2o_20230501_045959,1,13,30,0.7222,0.1852,0.6667,0.6625,0.6753
h2o_20230501_050824,1,13,50,0.6667,0.2165,0.6111,0.6,0.625
h2o_20230501_052029,1,13,70,0.6667,0.1976,0.6111,0.6099,0.6125
h2o_20230501_053649,1,13,90,0.7361,0.1816,0.7778,0.7778,0.7778
h2o_20230501_055526,1,13,110,0.625,0.2165,0.6111,0.6,0.625
h2o_20230501_061946,1,13,130,0.5972,0.2708,0.5,0.4582,0.5
h2o_20230501_064813,1,13,150,0.6806,0.243,0.6111,0.6099,0.6125
h2o_20230501_071651,1,13,170,0.625,0.2339,0.5556,0.5,0.6
h2o_20230501_074958,1,13,190,0.625,0.25,0.5,0.4109,0.5
h2o_20230501_082815,1,13,210,0.7361,0.2534,0.7778,0.775,0.7922
