id,component,reshape_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
pycaret_20230422_062832,1,8,10,0.7361,0.1811,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_064430,1,8,20,0.75,0.1667,0.6666666666666666,0.625,0.7999999999999999
pycaret_20230422_065220,1,8,30,0.8194,0.1039,0.5555555555555556,0.5499999999999999,0.5584415584415584
pycaret_20230422_070823,1,8,40,0.8333,0.1179,0.5555555555555556,0.5324675324675324,0.5692307692307692
pycaret_20230422_072428,1,8,50,0.8333,0.1021,0.3333333333333333,0.29870129870129875,0.2923076923076923
pycaret_20230422_074033,1,8,60,0.875,0.0589,0.5,0.48571428571428577,0.5
pycaret_20230422_075641,1,8,70,0.7639,0.1242,0.5,0.49845201238390086,0.5
pycaret_20230422_081254,1,8,80,0.7778,0.1145,0.6111111111111112,0.6000000000000001,0.625
pycaret_20230422_082956,1,8,90,0.7361,0.0921,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_084731,1,8,100,0.6944,0.1678,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_090454,1,8,10,0.7361,0.1811,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_092208,1,8,20,0.75,0.1667,0.6666666666666666,0.625,0.7999999999999999
pycaret_20230422_093035,1,8,30,0.8194,0.1039,0.5555555555555556,0.5499999999999999,0.5584415584415584
pycaret_20230422_094749,1,8,40,0.8333,0.1179,0.5555555555555556,0.5324675324675324,0.5692307692307692
pycaret_20230422_100505,1,8,50,0.8333,0.1021,0.3333333333333333,0.29870129870129875,0.2923076923076923
pycaret_20230422_102223,1,8,60,0.875,0.0589,0.5,0.48571428571428577,0.5
pycaret_20230422_103941,1,8,70,0.7639,0.1242,0.5,0.49845201238390086,0.5
pycaret_20230422_105657,1,8,80,0.7778,0.1145,0.6111111111111112,0.6000000000000001,0.625
pycaret_20230422_111422,1,8,90,0.7361,0.0921,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_113151,1,8,100,0.6944,0.1678,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_114923,1,9,10,0.7639,0.1242,0.7222222222222222,0.7213622291021671,0.7250000000000001
pycaret_20230422_120713,1,9,20,0.7639,0.1094,0.6111111111111112,0.5785953177257525,0.6607142857142857
pycaret_20230422_122607,1,9,30,0.8056,0.1332,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_124503,1,9,40,0.6944,0.1039,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230422_130502,1,9,50,0.7222,0.1288,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_132413,1,9,60,0.7361,0.1375,0.7777777777777778,0.7749999999999999,0.7922077922077921
pycaret_20230422_134639,1,9,70,0.7222,0.1934,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_141411,1,9,80,0.8056,0.1039,0.6111111111111112,0.6000000000000001,0.625
pycaret_20230422_143842,1,9,90,0.7778,0.1145,0.5555555555555556,0.5324675324675324,0.5692307692307692
pycaret_20230422_145816,1,9,100,0.7639,0.0921,0.6111111111111112,0.5785953177257525,0.6607142857142857
pycaret_20230422_152045,1,9,10,0.7639,0.1242,0.7222222222222222,0.7213622291021671,0.7250000000000001
pycaret_20230422_154304,1,9,20,0.7639,0.1094,0.6111111111111112,0.5785953177257525,0.6607142857142857
pycaret_20230422_160543,1,9,30,0.8056,0.1332,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_163040,1,9,40,0.6944,0.1039,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230422_165630,1,9,50,0.7222,0.1288,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_172305,1,9,60,0.7361,0.1375,0.7777777777777778,0.7749999999999999,0.7922077922077921
pycaret_20230422_174837,1,9,70,0.7222,0.1934,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_181438,1,9,80,0.8056,0.1039,0.6111111111111112,0.6000000000000001,0.625
pycaret_20230422_183953,1,9,90,0.7778,0.1145,0.5555555555555556,0.5324675324675324,0.5692307692307692
pycaret_20230422_190632,1,9,100,0.7639,0.0921,0.6111111111111112,0.5785953177257525,0.6607142857142857
